OBJECTID,FacilityID,FeederID,Installati,ServiceCur,Status,CONSTRUC_1,GlobalID,Category,Department,Division,Subdivision,AssetType,Latitude,Longitude
1,MTR-1,RMT001,473385600000,0,A,Underground,{8E37DC85-AC35-488A-B440-BB2E696E3F28},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78425384,-88.1634714
2,MTR-2,RMT001,473385600000,0,A,Underground,{AB6332F7-150C-45F1-8690-342E4C09F1DD},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78529087,-88.16114527
3,MTR-3,RMT001,504921600000,0,A,Underground,{09E9CBE1-AEBB-430C-A086-48C4C90DD730},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.7847552,-88.16062088
4,MTR-4,RMT001,504921600000,0,A,Underground,{16AF85FD-DEA7-4B2A-950E-C49980104426},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78451686,-88.16083103
5,MTR-5,RMT001,504921600000,0,A,Underground,{FE3A58C0-1515-4D16-A8A4-1E0ED031E345},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78404372,-88.16074298
6,MTR-6,RMT001,504921600000,0,A,Underground,{62A96E10-8525-4E77-9B75-DAD7510974FE},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78412264,-88.16040377
7,MTR-7,RMT001,473385600000,0,A,Underground,{CE803C87-8C1A-4F95-8C23-7174D804FFB5},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78299738,-88.16459825
8,MTR-8,RMT001,473385600000,0,A,Underground,{89B9B1A4-7E73-4249-87F7-CE3D2233D1CA},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78334468,-88.16412609
9,MTR-9,RMT001,473385600000,0,A,Underground,{18278596-5DFC-4353-85E0-7421EC402BA6},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78352496,-88.16359537
10,MTR-10,RMT001,473385600000,0,A,Underground,{58BC9B6D-7A4B-4C20-97A4-BBB1E8E8048B},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78394982,-88.16258524
11,MTR-11,RMT001,473385600000,0,A,Underground,{BDC562E0-AFA4-43A4-A690-AD743C190D3D},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.7843019,-88.16210394
12,MTR-12,RMT001,504921600000,0,A,Underground,{0BA6DB24-C522-40CD-B8B7-E6FA7E74D5CF},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78320777,-88.16297582
13,MTR-13,RMT001,504921600000,0,A,Underground,{39F297AD-906A-497C-B79B-133CAA429CD9},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78331679,-88.16239807
14,MTR-14,RMT001,1388966400000,0,A,Underground,{4A9DC296-A16A-457F-90CE-037EE49F6C4E},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.7848776,-88.15964507
15,MTR-15,RMT001,1388966400000,0,A,Underground,{A7C2E59A-241F-4412-BCC6-854D35F4A0E0},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78490134,-88.15923588
16,MTR-16,RMT001,1361318400000,0,A,Underground,{74CA0BDD-53DD-4179-9100-8BB8135E5DC9},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78506688,-88.15803593
17,MTR-17,RMT001,473385600000,0,A,Underground,{2ECC7F06-182E-42ED-92F2-E00520F88FAD},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78635628,-88.15483232
18,MTR-18,RMT001,1370390400000,0,A,Underground,{6E22FAFE-3624-4E14-A62B-FF82B0C1B002},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78606944,-88.15373328
19,MTR-19,RMT001,1403481600000,0,A,Underground,{02EDE1C4-770C-4C33-A3C0-B96B86B376BB},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78726119,-88.15481812
20,MTR-20,RMT001,283996800000,0,A,Underground,{06EB111A-6AA4-44EF-94A6-C8B5694A7A89},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78765369,-88.15481194
21,MTR-21,RMT001,1386201600000,0,A,Underground,{9C8B1449-E5A9-4C7E-A2BA-103A6A380CC3},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78766465,-88.15399359
22,MTR-22,RMT001,1391212800000,0,A,Underground,{7793194C-0073-456B-9C79-DEF4FD69D683},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78876071,-88.15483237
23,MTR-23,RMT001,1391212800000,0,A,Underground,{72748B22-732E-4414-A8FE-DDFB015D34BA},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78836067,-88.1555958
24,MTR-24,RMT001,1391212800000,0,A,Underground,{F8709C03-201B-4DC8-889B-5D99F40E559C},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78836299,-88.15616849
25,MTR-25,RMT001,1391212800000,0,A,Underground,{0CF7BE6B-8A83-4174-939D-E94F50812AB1},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78865732,-88.1565113
26,MTR-26,RMT001,1386201600000,0,A,Underground,{9A2F1A00-4A6D-4A21-970A-3BCB15F5B06B},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78820335,-88.15415859
27,MTR-27,RMT001,378691200000,0,A,Underground,{D0637BF5-16E0-4BD6-ACBB-6D1434FD7E35},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78904962,-88.15483719
28,MTR-28,RMT001,347155200000,0,A,Underground,{DD2CD51A-7A5D-408D-A3B3-FD6BB74E8E07},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78910491,-88.15502745
29,MTR-29,RMT001,378691200000,0,A,Underground,{251C568C-BC64-4F4D-B628-A43C08C7264D},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78915376,-88.15536878
30,MTR-30,RMT001,347155200000,0,A,Underground,{43835B39-CDF3-43C7-B944-2702A383329B},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78915764,-88.15555079
31,MTR-31,RMT001,347155200000,0,A,Underground,{10FF7696-97D5-470E-B73B-FA938FDEB529},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.7891545,-88.15576304
32,MTR-32,RMT001,378691200000,0,A,Underground,{539BBD53-198C-4AD6-9F9F-DE98FC661AE7},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78916106,-88.15600048
