OBJECTID,Installati,FacilityID,Owner,GlobalID,Category,Department,Division,Subdivision,AssetType,Latitude,Longitude
1,1378684800000,P20-T1,Utility,{BCC2980D-DFC1-48D3-9BF2-8F7B59B3006C},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.79495961,-88.15724038
2,136857600000,P20-T4,Utility,{A0B89942-89AB-496B-B9FF-D847251D52FD},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.79598491,-88.15719989
3,142300800000,P22-T4,Utility,{C55009AB-5F3E-4DAD-B9F5-4EF5015C77C3},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78240642,-88.16533441
4,142300800000,P22-T5,Utility,{B07498D6-E1F4-4E2A-8EB0-3AA5C228ABAA},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78301172,-88.16451368
5,142300800000,P22-T6,Utility,{18A25B77-4CC7-4518-A108-F2D45592B55C},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78348676,-88.1636874
6,142300800000,P22-T3,Utility,{471CF901-BF00-451C-B764-1C61818B78BF},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.7831227,-88.16345068
7,142300800000,P22-T17,Utility,{D86F0103-BE8D-4677-98C7-F20B999B349F},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78312932,-88.16249492
8,142300800000,P22-T7,Utility,{3DC60798-D580-4EE9-AA2F-D3DD3D1263B1},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78381911,-88.16280849
9,142300800000,P22-T8,Utility,{CA07D5D7-B122-46C9-94E8-EA646F9FCB27},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.7842335,-88.16198949
10,142300800000,P22-T1,Utility,{2FC7D607-71F2-4A69-B433-91271604E823},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78469905,-88.16110475
11,142300800000,P22-T9,Utility,{5E0946B1-61EE-4849-A665-9C16123F29BA},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78481158,-88.16126157
12,142300800000,P22-T2,Utility,{FEBB0110-06F7-4362-978C-01772F1F4C22},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78386944,-88.16173501
13,1388966400000,P20-T1,Utility,{4C1A3006-4975-4A84-B7FA-2E064223D48E},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78487454,-88.15943864
14,1388966400000,P20-T2,Utility,{5F02B8D0-6503-4789-8B83-B96985A4D181},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78473827,-88.15858262
15,968371200000,P22-T2,Utility,{F52739D6-8EF5-46D7-8210-E0AA39A727E0},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78613363,-88.15903318
16,968371200000,P22-T1,Utility,{8D28C649-7D24-48C0-9FFC-D486B1FE0094},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78604198,-88.15834721
17,1389139200000,P23T1,Utility,{7946BC1E-A5FD-440F-AD24-D1E7D68FAF16},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78513235,-88.15820494
18,928540800000,P34T1,Utility,{401273E6-5E1F-45A9-923F-32B981635745},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78616275,-88.15140445
19,928540800000,P33T1,Utility,{D0CE37E1-B5F7-4FEC-A96C-2EF7C8976666},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78565243,-88.15047641
20,176342400000,P3-T1,Utility,{CE11D0C8-C16B-48CC-A147-5FF91760E6DD},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78713246,-88.1547921
21,1357257600000,P4-T1,Utility,{8627979D-280C-4255-931C-2013768E9265},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.7877742,-88.15473237
22,176342400000,P5-T1,Utility,{387F606E-2C4D-465A-B4B5-CAAF4DC793F6},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78857233,-88.15479843
23,176342400000,P5-T2,Utility,{77708D69-F432-44D3-9B7B-84E8DF75BEB2},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78832167,-88.1554215
24,176342400000,P5-T3,Utility,{2D2A3DF3-9BC4-4182-A5D3-F9C75EECE719},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78832835,-88.15594371
25,176342400000,P5-T4,Utility,{4A23A84F-7738-4B77-90ED-669FBCFE72CE},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78854058,-88.15655557
26,176342400000,P5-T5,Utility,{CDAAFF5A-D6BB-4B13-A03F-84F1130E9394},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78850382,-88.15669229
27,340070400000,P7-T1,Utility,{CF3E4AD2-2BFB-4C16-A3CF-2F3535907C1C},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78967167,-88.15517915
28,490406400000,P10-T1,Utility,{C40F378B-8F20-4C89-80C5-0BA698B63674},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.79083801,-88.1552687
29,490406400000,P9-T1,Utility,{252E7388-25BF-4D44-8757-3342737A052E},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.79067234,-88.15508019
30,340070400000,P8-T1,Utility,{2FD0BEC0-0055-4F3F-90E2-6399E99E59DA},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.7897746,-88.15374828
31,136857600000,P20-T3,Utility,{81A1F57A-3EE3-4757-9ADC-C2AD42EE633B},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.79563008,-88.15721148
