OBJECTID,Installati,FacilityID,Owner,Class,Height,Foundation,Grounded,Style,UsageType,GlobalID,Category,Department,Division,Subdivision,AssetType,Latitude,Longitude
1,73958400000,P19,Utility,3,40,BUR,N,NORM,HWY,{DBA9143F-CC55-4A79-9103-A74D69552E42},Electric,Electric,Field Service,Asset Mgmt.,Poles,41.79479937,-88.15600695
2,73958400000,P18,Utility,3,40,BUR,N,NORM,DST,{F1672639-1171-4FD1-844F-11F91FF0186E},Electric,Electric,Field Service,Asset Mgmt.,Poles,41.79466499,-88.15513107
3,73958400000,P1,Utility,3,40,BUR,N,NORM,DST,{7210A063-ABE0-440F-B539-B8D90C77577D},Electric,Electric,Field Service,Asset Mgmt.,Poles,41.79439785,-88.15398065
4,73958400000,P2,Utility,3,40,BUR,N,NORM,DST,{8CE4B853-E7D7-4576-AF71-838CD95BB978},Electric,Electric,Field Service,Asset Mgmt.,Poles,41.79436125,-88.15344158
5,73958400000,P3,Utility,3,40,BUR,N,NORM,DST,{E15F5A9F-58EA-45CA-B30E-E63C35FEF829},Electric,Electric,Field Service,Asset Mgmt.,Poles,41.79428794,-88.15265498
6,73958400000,P4,Utility,3,40,BUR,N,NORM,DST,{92503131-5CB6-4CD5-9390-F5F9082D1E49},Electric,Electric,Field Service,Asset Mgmt.,Poles,41.79420876,-88.15178954
7,73958400000,P5,Utility,3,40,BUR,N,NORM,DST,{5918239D-27D9-4155-B603-3D819612BD7D},Electric,Electric,Field Service,Asset Mgmt.,Poles,41.79416489,-88.15106395
8,73958400000,P6,Utility,3,40,BUR,N,NORM,DST,{C6C5FDDB-980D-48F9-A458-D59600C06CC6},Electric,Electric,Field Service,Asset Mgmt.,Poles,41.79413144,-88.15057215
9,1241568000000,P7,Utility,3,40,BUR,N,NORM,AL,{A26DD00B-25B5-45E4-ABB4-BDB993496287},Electric,Electric,Field Service,Asset Mgmt.,Poles,41.79406016,-88.14966309
10,73958400000,P8,Utility,3,40,BUR,N,NORM,DST,{64184CDE-536B-4685-8A43-F354F4CB198A},Electric,Electric,Field Service,Asset Mgmt.,Poles,41.79400815,-88.14890708
11,73958400000,P9,Utility,3,40,BUR,N,NORM,DST,{38A11B4A-774C-4493-AB60-0EA31CE2B1D2},Electric,Electric,Field Service,Asset Mgmt.,Poles,41.79395257,-88.14819185
12,73958400000,P10,Utility,3,40,BUR,N,NORM,DST,{513A6AD6-1978-4803-A242-B6FD1008EC25},Electric,Electric,Field Service,Asset Mgmt.,Poles,41.79387636,-88.14725722
13,73958400000,P1,Utility,3,40,BUR, ,NORM,DST,{90BEE3AC-5224-4B88-A4EC-84C9048A5A36},Electric,Electric,Field Service,Asset Mgmt.,Poles,41.79379524,-88.14626125
