OBJECTID,MeasuredLe,NominalVol,OperatingV,ConductorT,FeederID,ConductorC,OWNER,OPERATINGC,Shape_Length,FacilityID,Category,Department,Division,Subdivision,AssetType,Latitude,Longitude
1,107.60691516,380,380,OPN,RMT004,HOR,Utility,Distribution,44.08788417518039,POH -1,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.78676852,-88.14788567
2,800.85820995,380,380,OPN,RMT004,HOR,Utility,Distribution,328.0689132482109,POH -2,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.79259511,-88.14681658
3,158.7459896,380,380,OPN,RMT004,HOR,Utility,Distribution,64.80545443245552,POH -3,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.78802293,-88.14680957
4,104.01475975,380,380,OPN,RMT004,HOR,Utility,Distribution,42.45805241969357,POH -4,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.78803036,-88.14626042
5,481.81968144,380,380,OPN,RMT004,HOR,Utility,Distribution,196.6748957144278,POH -5,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.7880142,-88.14440019
6,725.64965723,380,380,OPN,RMT004,HOR,Utility,Distribution,296.24394175018995,POH -6,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.79390265,-88.14758403
7,74.31414844,380,380,OPN,RMT004,HOR,Utility,Distribution,30.414555254676486,POH -7,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.79371109,-88.14633822
8,1231.09186272,380,380,OPN,RMT004,HOR,Utility,Distribution,502.59010277567666,POH -8,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.79417282,-88.15115351
9,643.39283443,380,380,OPN,RMT004,HOR,Utility,Distribution,262.6456112966494,POH -9,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.79165811,-88.15288655
10,410.8047632,380,380,OPN,RMT004,HOR,Utility,Distribution,168.32711020813446,POH -10,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.79274758,-88.15166849
11,250.41152138,380,380,OPN,RMT004,HOR,Utility,Distribution,102.60382394980572,POH -11,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.79136086,-88.1517231
12,376.31682079,380,380,OPN,RMT004,HOR,Utility,Distribution,154.19035987906898,POH -12,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.79050131,-88.1517587
13,125.32153215,380,380,OPN,RMT004,HOR,Utility,Distribution,51.348048747692566,POH -13,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.78981332,-88.15178765
14,190.51826559,380,380,OPN,RMT004,HOR,Utility,Distribution,77.79015288359217,POH -14,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.78935149,-88.15213287
15,624.74629951,380,380,OPN,RMT004,HOR,Utility,Distribution,255.97233311603074,POH -15,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.78844103,-88.15184919
16,125.25762464,380,380,OPN,RMT004,HOR,Utility,Distribution,51.31979043356882,POH -16,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.78707098,-88.15190972
17,2544.91020481,380,380,OPN,RMT004,HOR,Utility,Distribution,1039.1958542057216,POH -17,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.78464366,-88.16526436
18,373.27457698,380,380,OPN,RMT004,HOR,Utility,Distribution,152.36499643169174,POH -18,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.7857565,-88.16015509
19,196.49445854,380,380,OPN,RMT004,HOR,Utility,Distribution,80.20477104789319,POH -19,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.78577705,-88.15911159
20,124.42874904,380,380,OPN,RMT004,HOR,Utility,Distribution,50.78901273460837,POH -20,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.78577328,-88.15852328
21,731.57751949,380,380,OPN,RMT004,HOR,Utility,Distribution,298.61522582081506,POH -21,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.78573833,-88.15604782
22,194.78890994,380,380,OPN,RMT004,HOR,Utility,Distribution,79.50872691937671,POH -22,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.785762,-88.15774567
23,52.52563923,380,380,OPN,RMT004,HOR,Utility,Distribution,21.439785242403314,POH -23,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.78577173,-88.1581989
24,154.58366236,380,380,OPN,RMT004,HOR,Utility,Distribution,63.09762740872862,POH -24,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.78569274,-88.1537197
25,119.22614774,380,380,OPN,RMT004,HOR,Utility,Distribution,48.84628733625546,POH -25,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.78617302,-88.15166325
26,278.37925408,380,380,OPN,RMT004,HOR,Utility,Distribution,113.62849903183155,POH -26,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.78566951,-88.15221955
27,396.11851473,380,380,OPN,RMT004,HOR,Utility,Distribution,162.27737044575187,POH -27,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.78310883,-88.15203679
28,411.60817748,380,380,OPN,RMT004,HOR,Utility,Distribution,168.61596594494353,POH -28,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.78065163,-88.15240397
29,256.12946713,380,380,OPN,RMT004,HOR,Utility,Distribution,104.5396732282039,POH -29,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.78167534,-88.1513003
30,170.1298183,380,380,OPN,RMT004,HOR,Utility,Distribution,69.69588480203427,POH -30,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.78144373,-88.1522732
31,200.26455959,380,380,OPN,RMT004,HOR,Utility,Distribution,82.04505433018386,POH -31,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.78237327,-88.14940852
32,317.7202824,380,380,OPN,RMT004,HOR,Utility,Distribution,129.7926009140714,POH -32,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.78199446,-88.14894091
33,80.74272423,380,380,OPN,RMT004,HOR,Utility,Distribution,33.08025655987006,POH -33,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.78544187,-88.14923069
34,340.96212221,380,380,OPN,RMT004,HOR,Utility,Distribution,139.6908199608426,POH -34,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.78486432,-88.14927789
35,210.98502308,380,380,OPN,RMT004,HOR,Utility,Distribution,86.43959765599722,POH -35,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.78410777,-88.14932167
36,100.50086152,380,380,OPN,RMT004,HOR,Utility,Distribution,41.174124836298255,POH -36,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.7833356,-88.14935574
37,200.5797556,380,380,OPN,RMT004,HOR,Utility,Distribution,82.17475786383004,POH -37,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.78292283,-88.14937872
38,12.47676067,380,380,OPN,RMT004,HOR,Utility,Distribution,5.111492600636275,POH -38,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.78181206,-88.14943621
39,199.46445005,380,380,OPN,RMT004,HOR,Utility,Distribution,81.7162845405504,POH -39,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.78152138,-88.14944674
40,738.50020336,380,380,OPN,RMT004,HOR,Utility,Distribution,302.55931218245047,POH -40,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.78397653,-88.14803125
41,12.2047643,380,380,OPN,RMT004,HOR,Utility,Distribution,5.000115098695419,POH -41,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.78570016,-88.16083426
42,166.26098314,380,380,OPN,RMT004,HOR,Utility,Distribution,68.11832670353013,POH -42,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.78592797,-88.1546995
43,148.14921158,380,380,OPN,RMT004,HOR,Utility,Distribution,60.69823015870816,POH -43,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.78635929,-88.15468984
44,205.03984633,380,380,OPN,RMT004,HOR,Utility,Distribution,84.00673135550637,POH -44,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.7868435,-88.15466755
45,234.50980514,380,380,OPN,RMT004,HOR,Utility,Distribution,96.0826786149098,POH -45,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.78744616,-88.15463983
46,200.49499181,380,380,OPN,RMT004,HOR,Utility,Distribution,82.14689250971098,POH -46,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.78804292,-88.15462328
47,400.31158791,380,380,OPN,RMT004,HOR,Utility,Distribution,164.01827875880576,POH -47,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.7888672,-88.15460784
48,199.28378997,380,380,OPN,RMT004,HOR,Utility,Distribution,81.6528722196405,POH -48,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.7896899,-88.15460009
49,202.97444617,380,380,OPN,RMT004,HOR,Utility,Distribution,83.16548269237867,POH -49,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.79024174,-88.15459023
50,195.35031057,380,380,OPN,RMT004,HOR,Utility,Distribution,80.0426319573946,POH -50,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.79078818,-88.1545767
51,105.67770631,380,380,OPN,RMT004,HOR,Utility,Distribution,43.30039101839734,POH -51,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.79120121,-88.15457079
52,99.45240628,380,380,OPN,RMT004,HOR,Utility,Distribution,40.74992756057544,POH -52,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.79148266,-88.15456614
53,398.48314649,380,380,OPN,RMT004,HOR,Utility,Distribution,163.27748328038163,POH -53,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.79216588,-88.15456013
54,200.02993623,380,380,OPN,RMT004,HOR,Utility,Distribution,81.96258241280151,POH -54,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.79302049,-88.15457073
55,416.5969996,380,380,OPN,RMT004,HOR,Utility,Distribution,170.70279317938065,POH -55,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.79386579,-88.1546179
56,614.38413925,380,380,OPN,RMT004,HOR,Utility,Distribution,250.91227843096414,POH -56,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.79473268,-88.15568007
57,267.23707984,380,380,OPN,RMT004,HOR,Utility,Distribution,109.325052481494,POH -57,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.79511199,-88.15715448
58,966.6923341,380,380,OPN,RMT004,HOR,Utility,Distribution,396.1277389526172,POH -58,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.79679636,-88.15725345
59,152.23238411,380,380,OPN,RMT004,HOR,Utility,Distribution,62.36616226954298,POH -59,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.78121992,-88.14813268
60,180.82093341,380,380,OPN,RMT004,HOR,Utility,Distribution,74.07900618749198,POH -60,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.78186988,-88.14811577
61,70.36488129,380,380,OPN,RMT004,HOR,Utility,Distribution,28.82708334201174,POH -61,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.78152528,-88.14812365
62,386.20604298,380,380,OPN,RMT004,HOR,Utility,Distribution,157.64761406518554,POH -62,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.78169906,-88.15012664
63,331.66707672,380,380,OPN,RMT004,HOR,Utility,Distribution,135.880417484404,POH -63,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.78460945,-88.15053212
64,289.02180486,380,380,OPN,RMT004,HOR,Utility,Distribution,118.40136034562887,POH -64,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.78124599,-88.15089775
65,60.48151897,380,380,OPN,RMT004,HOR,Utility,Distribution,24.777981491439686,POH -65,Electric,Electric,Field Service,Asset Mgmt.,Primary (Overhead),41.78179135,-88.15081642
