OBJECTID,FacilityID,MeasuredLe,FeederID,NominalVol,OperatingV,ConductorT,BackfillMa,CableCount,InConduitI,OWNER,OPERATINGC,Shape_Length,Category,Department,Division,Subdivision,AssetType,Latitude,Longitude
1,PUG-1,291.39974516,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,119.01781192739129,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78283205,-88.1714676
2,PUG-2,365.73917273,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,149.78827418423612,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78515967,-88.16087368
3,PUG-3,356.22084969,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,145.7926485595076,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78428236,-88.16144215
4,PUG-4,559.73462531,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,228.70803891918897,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78353543,-88.16261272
5,PUG-5,583.57798357,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,238.3929390210041,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78276823,-88.16438664
6,PUG-6,368.36508836,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,150.57978992157882,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78270785,-88.16495436
7,PUG-7,305.04886952,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,124.6728542036483,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78322519,-88.16403903
8,PUG-8,315.37232415,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,128.88092074649032,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78357356,-88.1631936
9,PUG-9,318.84668271,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,130.32545628962384,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.7839538,-88.16232413
10,PUG-10,317.91050338,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,130.04359363666273,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.7844977,-88.16162061
11,PUG-11,310.72491434,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,127.17447155803775,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78276526,-88.1631425
12,PUG-12,318.61497585,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,130.53752318692565,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78531153,-88.15945596
13,PUG-13,124.0395119,RMT003,150,150,OPN,SOIL,3,N,Utility,Distribution,50.72589385272596,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78603427,-88.15894878
14,PUG-14,221.70762414,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,90.82760228108027,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78543322,-88.15814508
15,PUG-15,119.09147526,RMT001,150,150,OPN,SOIL,1,N,Utility,Distribution,48.709070039378354,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78610454,-88.15154383
16,PUG-16,326.35026409,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,133.20853540503663,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.7856547,-88.15107472
17,PUG-17,287.68182517,RMT001,150,150,OPN,SOIL,1,N,Utility,Distribution,117.84932139716287,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78675379,-88.15476062
18,PUG-18,444.80168576,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,181.5845041217447,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78778535,-88.15554711
19,PUG-19,93.30579595,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,38.19808182199706,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78845898,-88.15471892
20,PUG-20,299.92674245,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,122.63379543785317,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78832183,-88.15500309
21,PUG-21,177.0151317,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,72.32519208151307,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78826929,-88.15568373
22,PUG-22,287.31318538,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,117.47171217864314,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78831325,-88.15634216
