OBJECTID,MeasuredLe,NominalVol,OperatingV,FeederID,ConductorC,ServiceInd,OWNER,OPERATINGC,Shape_Length,FacilityID,Department,Category,Division,Subdivision,AssetType
1,89.86672409,30,160,RMT001,HOR,Y,Utility,Service,36.68801718626243,SOH-1,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
2,88.8925682,30,160,RMT001,HOR,Y,Utility,Service,36.33545417776766,SOH-2,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
3,103.55990576,30,160,RMT001,HOR,Y,Utility,Service,42.271979387073976,SOH-3,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
4,100.09664608,30,160,RMT001,HOR,Y,Utility,Service,40.85862266322113,SOH-4,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
5,46.70015907,30,160,RMT001,HOR,Y,Utility,Service,19.117082551366636,SOH-5,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
6,70.64800797,30,160,RMT001,HOR,Y,Utility,Service,28.848812727836208,SOH-6,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
7,71.78071902,30,160,RMT001,HOR,Y,Utility,Service,29.34073404350046,SOH-7,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
8,53.89822402,30,160,RMT001,HOR,Y,Utility,Service,22.02035885591271,SOH-8,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
9,59.72919924,30,160,RMT001,HOR,Y,Utility,Service,24.38302257688572,SOH-9,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
10,56.99727945,30,160,RMT001,HOR,Y,Utility,Service,23.267700517931075,SOH-10,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
11,69.78441979,30,160,RMT001,HOR,Y,Utility,Service,28.50644230496138,SOH-11,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
12,39.18497616,30,160,RMT001,HOR,Y,Utility,Service,16.004016262908355,SOH-12,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
13,64.77966766,30,160,RMT001,HOR,Y,Utility,Service,26.446056539271364,SOH-13,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
14,81.23479137,30,160,RMT001,HOR,Y,Utility,Service,33.17684094491548,SOH-14,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
15,74.86005362,30,160,RMT001,HOR,Y,Utility,Service,30.56120954970101,SOH-15,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
16,82.99287978,30,160,RMT001,HOR,Y,Utility,Service,33.90189039306878,SOH-16,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
17,32.62240998,30,160,RMT001,HOR,Y,Utility,Service,13.34107178025615,SOH-17,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
18,66.53444538,30,160,RMT001,HOR,Y,Utility,Service,27.16839062802678,SOH-18,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
19,40.36172365,30,160,RMT001,HOR,Y,Utility,Service,16.487849558407753,SOH-19,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
20,51.69008166,30,160,RMT001,HOR,Y,Utility,Service,21.132805234279527,SOH-20,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
21,39.42384853,30,160,RMT001,HOR,Y,Utility,Service,16.129715498972402,SOH-21,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
22,62.59738845,30,160,RMT001,HOR,Y,Utility,Service,25.55578878077805,SOH-22,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
23,81.69824401,30,160,RMT001,HOR,Y,Utility,Service,33.38726144095771,SOH-23,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
24,33.05342733,30,160,RMT001,HOR,Y,Utility,Service,13.524420298555132,SOH-24,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
