OBJECTID,MeasuredLe,NominalVol,OperatingV,ConductorT,FeederID,BackfillMa,BuriedDept,CableCount,ServiceInd,OWNER,OPERATINGC,Shape_Length,FacilityID,Department,Category,Division,Subdivision,AssetType,Latitude,Longitude
1,86.38104683,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,35.30763108590189,SUG-1,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78521072,-88.16114031
2,39.94516502,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,16.328083039269785,SUG-2,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.7842677,-88.16204672
3,77.30323908,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,31.597462774689646,SUG-3,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78388446,-88.16269686
4,28.70148643,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,11.725191531079973,SUG-4,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78350586,-88.16364139
5,134.62989098,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,54.99381423517126,SUG-5,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78342094,-88.1639055
6,23.64984775,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,9.65477282989594,SUG-6,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78300455,-88.16455597
7,133.53880829,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,54.511564098337516,SUG-7,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78472713,-88.16086282
8,99.90147922,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,40.8443656833854,SUG-8,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78460796,-88.16096789
9,19.24557864,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,7.865454107929912,SUG-9,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78410813,-88.16043224
10,49.47099568,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,20.24092520888008,SUG-10,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78409922,-88.16079461
11,44.59381806,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,18.23880748503296,SUG-11,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78377961,-88.16143738
12,15.02147533,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,6.144400139332205,SUG-12,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78364306,-88.16163268
13,43.04031633,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,17.5917451404403,SUG-13,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78334992,-88.16233689
14,23.88636945,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,9.759448484862425,SUG-14,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78319858,-88.16301424
15,74.19225268,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,30.368988876563485,SUG-15,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78325086,-88.16003783
16,63.67184134,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,26.042944104778414,SUG-16,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.7835634,-88.16007406
17,112.22685163,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,45.89577279139185,SUG-17,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78303829,-88.1599256
18,65.15129753,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,26.6820457470588,SUG-18,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78320189,-88.16084043
