OBJECTID,FacilityID,FeederID,OperatingV,Constructi,Installati,NominalVol,BallastTyp,Ownership,SupportStr,CONSTRUC_1,Category,Department,Division,Subdivision,AssetType,Latitude,Longitude
1,P7L1,RMT001,380,5,331689600000,120,,Util,4821,Overhead,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.79410582,-88.14966774
2,P3-5L1,RMT001,160,5,155952000000,120,,Util,5020,Overhead,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78013897,-88.15096498
3,P19-2-1L1,RMT001,160,5,205459200000,120,,Util,4855,Overhead,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78692743,-88.14785064
4,P2L1,RMT001,380,5,1403481600000,120,,Util,4900,Overhead,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78612099,-88.15475155
5,P2L2,RMT001,380,5,1403481600000,120,,Util,4899,Overhead,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78656515,-88.15474242
6,P2L3,RMT001,380,5,1403481600000,120,,Util,4897,Overhead,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78715656,-88.15470313
7,P2L4,RMT001,380,5,1403481600000,120,,Util,4896,Overhead,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78782506,-88.15468852
8,P2L5,RMT001,380,5,1403481600000,120,,Util,4895,Overhead,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.7883263,-88.15469468
9,P2L6,RMT001,380,5,1403481600000,120,,Util,4894,Overhead,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78887467,-88.15469009
10,P2L7,RMT001,380,5,1403481600000,120,,Util,4899,Overhead,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78953375,-88.15470817
11,P2L8,RMT001,380,5,1403481600000,120,,Util,4899,Overhead,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.7899943,-88.15470817
12,P2L9,RMT001,380,5,1403481600000,120,,Util,4899,Overhead,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.79065799,-88.15469214
13,P2L11,RMT001,380,5,1403481600000,120,,Util,4899,Overhead,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.79162498,-88.15467644
14,P2L10,RMT001,380,5,1403481600000,120,,Util,4899,Overhead,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.79108713,-88.15467644
15,P2L12,RMT001,380,5,1403481600000,120,,Util,4899,Overhead,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.79217454,-88.1546723
16,P2L13,RMT001,380,5,1403481600000,120,,Util,4899,Overhead,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.79257795,-88.15465373
17,P15L1,RMT001,380,5,1391644800000,120,,Util,4860,Overhead,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.79330635,-88.15470459
18,17L1,RMT001,160,5,153273600000,120,,Util,4985,Overhead,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78037703,-88.15240526
19,P3-4L1,RMT001,160,5,208224000000,120,,Util,5057,Overhead,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78943029,-88.14788762
20,P7-5L1,RMT001,160,5,276739200000,120,,Util,5091,Overhead,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78962895,-88.15024181
21,P7L1,RMT001,160,5,1403481600000,120,,Util,5039,Overhead,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78823015,-88.15028561
22,P5-1L1,RMT001,160,5,242524800000,120,,Util,5038,Overhead,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78832268,-88.14913224
23,P5-9L1,RMT001,160,5,242524800000,120,,Util,5068,Overhead,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.790691,-88.14906898
24,P7-10L1,RMT001,160,5,276739200000,120,,Util,5101,Overhead,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.79087578,-88.1502266
25,P7-14L1,RMT001,160,5,276739200000,120,,Util,5106,Overhead,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.79198634,-88.15014448
26,P5-14L1,RMT001,160,5,242524800000,120,,Util,5071,Overhead,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.79212757,-88.1490197
27,P3-13L1,RMT001,160,5,208224000000,120,,Util,5049,Overhead,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.79207705,-88.14783288
28,P5DL1,RMT001,160,5,242524800000,120,,Util,5080,Overhead,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78706945,-88.14925329
29,P4L1,RMT001,160,5,153273600000,120,,Util,4945,Overhead,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78397899,-88.1521497
30,P4-1L1,RMT001,160,5,371433600000,120,,Util,5200,Overhead,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.79103802,-88.14548967
31,28L1,RMT001,160,5,168393600000,120,,Util,5145,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78574366,-88.15415969
32,28L5,RMT001,160,5,168393600000,120,,Util,5147,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78573662,-88.15355848
33,28L6,RMT001,160,5,168393600000,120,,Util,5150,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78572785,-88.15290002
34,28L2,RMT001,160,5,168393600000,120,,Util,5146,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78593321,-88.15415621
35,28L4,RMT001,160,5,168393600000,120,,Util,5148,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78592967,-88.15355554
36,28L5,RMT001,160,5,168393600000,120,,Util,5149,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78591447,-88.15289181
37,28L8,RMT001,160,5,168393600000,120,,Util,5152,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78571487,-88.15212432
38,28L7,RMT001,160,5,168393600000,120,,Util,5151,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.7858951,-88.15212274
39,28L10,RMT001,160,5,168393600000,120,,Util,5154,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78570121,-88.15139568
40,28L9,RMT001,160,5,168393600000,120,,Util,5153,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78587432,-88.15135392
41,28L11,RMT001,160,5,168393600000,120,,Util,5157,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.7859057,-88.15107178
42,28L12,RMT001,160,5,168393600000,120,,Util,5155,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78569316,-88.15096602
43,L10,RMT001,160,5,168393600000,120,,Util,5158,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78585983,-88.15063452
