OBJECTID,Installati,Owner,NominalVol,Manufactur,OPERATINGC,CONSTRUC_1,GlobalID,Category,Department,Division,Subdivision,AssetType,Latitude,Longitude
1,968371200000,Utility,370,OTH,Distribution,Underground,{9472BE2F-A4A7-4140-93E2-43E5C9627992},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.7860638,-88.1587869
2,928540800000,Utility,370,OTH,Distribution,Underground,{F1E630D1-5A2A-457F-B3F4-4C6B3AC62D35},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.78601773,-88.1534315
3,944611200000,Utility,250,OTH,Distribution,Underground,{06D918DD-16AC-4E29-B662-3D197B0F4705},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.7776887,-88.17710627
4,944611200000,Utility,250,OTH,Distribution,Underground,{03D24F28-0366-4925-8B5A-7DDE7B47CDA7},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.77877903,-88.15081314
5,944611200000,Utility,250,OTH,Distribution,Underground,{7053639F-8428-4B7F-8382-CAF59E2B74F3},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.77821303,-88.12945798
6,944611200000,Utility,250,OTH,Distribution,Underground,{0EEF261F-E6B5-4C85-8460-D6F349FF2DC2},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.76951677,-88.18393676
7,944611200000,Utility,250,OTH,Distribution,Underground,{5BE6238F-67AA-4842-A3F2-53CC50C9F308},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.77127369,-88.17894721
8,944611200000,Utility,250,OTH,Distribution,Underground,{76D97633-5877-481F-A54A-1E8A9D444255},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.76836384,-88.1835433
9,944611200000,Utility,250,OTH,Distribution,Underground,{B5554B1E-E1F9-4CF4-BE58-301FF25998ED},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.80503851,-88.13365958
10,944611200000,Utility,250,OTH,Distribution,Underground,{4B1D2968-A6F1-470E-9AE4-E02BFC793F8F},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.79935867,-88.12786529
11,944611200000,Utility,250,OTH,Distribution,Underground,{4D2A2CBF-6506-49B9-9938-F7B0A6C42941},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.7994046,-88.12332492
12,944611200000,Utility,250,OTH,Distribution,Underground,{85F42607-11B5-49FA-B901-0CF5C9511A40},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.79871605,-88.12581998
13,944611200000,Utility,250,OTH,Distribution,Underground,{730E25CD-DF54-4356-84F1-A98B3D3DCA4D},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.80310346,-88.12296566
14,944611200000,Utility,250, ,Distribution,Underground,{8272D82D-0AD2-49AC-8675-99EBAC242FA1},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.80059106,-88.11973854
15,944611200000,Utility,250, ,Distribution,Underground,{2B0A27F8-E1F5-4360-9617-922E687DDDC9},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.80038596,-88.12178185
16,944611200000,Utility,250,OTH,Distribution,Underground,{AA4C99D1-E746-4A31-93F9-C25676E56484},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.79966666,-88.11929922
17,944611200000,Utility,250,OTH,Distribution,Underground,{D5C9AA0A-2348-448D-B1AC-CD513952F35C},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.80265876,-88.14289331
18,944611200000,Utility,250,OTH,Distribution,Underground,{75B1FC51-8216-4FF7-AAD3-EE68E7287991},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.79820483,-88.14258594
19,944611200000,Utility,250,OTH,Distribution,Underground,{49DB4F5B-F6B8-4B4D-B9A2-854E9F9B7AD2},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.7966998,-88.14372944
20,944611200000,Utility,250,OTH,Distribution,Underground,{6B6F885E-058F-49C8-A67E-B46C5AE47015},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.80126223,-88.15103536
21,944611200000,Utility,250,OTH,Distribution,Underground,{77C870F9-17EC-4EEC-A38B-86994684C533},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.80127332,-88.15027925
22,944611200000,Utility,250,OTH,Distribution,Underground,{A207AE24-DD63-488D-85C9-DA3E5FBAC729},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.80117707,-88.14907579
23,944611200000,Utility,250,OTH,Distribution,Underground,{9A54C8FD-E6CF-4833-8A7F-C7F963C3E55E},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.80227835,-88.14872455
24,944611200000,Utility,250, ,Distribution,Underground,{6792883F-4B21-4274-865D-29C21D7FA979},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.79404611,-88.14767469
25,944611200000,Utility,250,OTH,Distribution,Underground,{B411D535-0BC9-4311-B75D-1A7F0D541626},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.79400899,-88.14628222
26,944611200000,Utility,250,OTH,Distribution,Underground,{4A35208F-C5E9-4D93-AD00-9039076316DB},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.80318463,-88.14920062
27,944611200000,Utility,250,OTH,Distribution,Underground,{791F92EB-6529-4BA7-BBB5-7DBC6922812C},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.80134736,-88.14672341
28,944611200000,Utility,250,OTH,Distribution,Underground,{9B936E8B-9286-4186-863D-3BC076EA99A8},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.7998849,-88.15044591
29,944611200000,Utility,250, ,Distribution,Underground,{37D5A262-D5ED-4C1D-94F5-C6C17FFCB919},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.79697424,-88.12739327
30,944611200000,Utility,250,OTH,Distribution,Underground,{E18FDA80-B263-468F-96F9-0F2BA0F18735},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.79727345,-88.137021
31,944611200000,Utility,250,OTH,Distribution,Underground,{CECF4FCF-45B3-41BE-8220-2047A8FB0DF5},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.79817981,-88.13422596
32,944611200000,Utility,250, ,Distribution,Underground,{06EC9FEB-C06F-4A11-8B6D-3E3693FA246F},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.79779597,-88.13067025
33,944611200000,Utility,250,OTH,Distribution,Underground,{FA17448F-6939-40D9-AFF8-D416B97BF414},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.79363311,-88.14247452
34,944611200000,Utility,250,OTH,Distribution,Underground,{F9A65F36-CCD9-443C-B3A8-D528329CB115},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.79372818,-88.14636179
35,944611200000,Utility,250,OTH,Distribution,Underground,{2FFAC2CA-DB37-4698-AD13-6860026CD61D},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.79306597,-88.13618656
36,944611200000,Utility,250,OTH,Distribution,Underground,{15B38165-C5B1-47E9-B755-88899E998A35},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.79335206,-88.13122934
37,481334400000,Utility,250,OTH,Distribution,Underground,{AE50AF49-5E07-47D9-A666-E5F9DDE27E55},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.80585477,-88.14443863
38,448588800000,Utility,250,OTH,Distribution,Underground,{62FC8EF2-8758-430E-A82A-407F31B110CA},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.80396976,-88.1414651
39,944611200000,Utility,250,OTH,Distribution,Underground,{AD9C3B32-9D42-4997-9EC2-6BFE74AB1F8E},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.80371017,-88.14520156
40,944611200000,Utility,250,OTH,Distribution,Underground,{50AFDCEC-E676-4FB6-B584-0573799D4F17},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.80293231,-88.1387768
41,944611200000,Utility,250,OTH,Distribution,Underground,{D2CE49DD-8BC0-4C63-B661-C5AB7C1205CF},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.80309004,-88.1366727
42,944611200000,Utility,250,OTH,Distribution,Underground,{8ADA2938-95EF-4522-816D-4981E118D80C},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.8035233,-88.13507215
43,944611200000,Utility,250,OTH,Distribution,Underground,{5EFFBAE9-432D-485F-BB66-6D51805B34C4},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.80305375,-88.13128392
44,944611200000,Utility,250,OTH,Distribution,Underground,{1F74DA37-FA53-42F8-9F9B-553805AA6A82},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.80214689,-88.12985785
45,944611200000,Utility,250,OTH,Distribution,Underground,{14CCC560-68F6-4364-8B89-D13525CD8B4C},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.80061989,-88.12598333
46,944611200000,Utility,250,OTH,Distribution,Underground,{B9770737-CE80-406D-B675-74027EC0F11F},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.8013386,-88.12434912
47,944611200000,Utility,250,OTH,Distribution,Underground,{A163DBEB-CB83-4C17-A433-D5F9CD0386C3},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.8022817,-88.12264252
48,944611200000,Utility,250,OTH,Distribution,Underground,{18D0279D-ED6C-4D7D-8C82-B68F3D32ECFE},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.80247627,-88.12069704
49,944611200000,Utility,250,OTH,Distribution,Underground,{248C0FC6-149F-4944-B1A9-CB2A6379680D},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.80319322,-88.14156545
50,944611200000,Utility,250,OTH,Distribution,Underground,{AA720D2B-03C9-4A62-88E5-1246BE878FC2},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.79753733,-88.13916778
51,944611200000,Utility,370,OTH,Distribution,Underground,{7C603BB6-0F5C-4191-8E38-7CEE2A79E346},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.80577162,-88.14895957
52,944611200000,Utility,370,OTH,Distribution,Underground,{40EE9B24-C043-4F98-9F8C-6764FE502A85},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.80115263,-88.15453862
53,944611200000,Utility,370,OTH,Distribution,Underground,{E94674DF-C698-461A-82D5-53EE745B8513},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.79926997,-88.1572461
54,944611200000,Utility,250,OTH,Distribution,Underground,{98B1B897-38D8-4B6B-AE62-1488FD906128},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.79871089,-88.169711
55,944611200000,Utility,250,OTH,Distribution,Underground,{E17A8ABB-C161-401E-9F45-1F8502D0126B},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.7988716,-88.17079575
56,944611200000,Utility,250,OTH,Distribution,Underground,{A9FD3D7A-91B2-4ED2-95FF-C30491C83E30},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.79922227,-88.17094329
57,944611200000,Utility,250,OTH,Distribution,Underground,{ACA51246-30F2-4663-8332-D5D9FFD13F2F},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.79422734,-88.17643034
58,944611200000,Utility,250,OTH,Distribution,Underground,{663D96CF-9437-4B7B-AFA4-DD2EBBDD8DE7},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.78462176,-88.16631773
59,944611200000,Utility,250,OTH,Distribution,Underground,{309CAEB2-E4D9-4C45-9BDC-4AC9B4298413},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.79540202,-88.17373859
60,913334400000,Utility,250,OTH,Distribution,Underground,{154A823A-3BB2-45B2-B71F-BF22DB4614E2},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.77070272,-88.18296974
61,944611200000,Utility,250,OTH,Distribution,Underground,{2225BA40-9649-4DA4-B1C2-634086D22B52},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.7693195,-88.1875807
62,944611200000,Utility,250,OTH,Distribution,Underground,{9690022D-B208-4CA1-A8AF-A8C6C128805C},Electric,Electric,Field Service,Asset Mgmt.,Switching Facilitys,41.76922814,-88.19563396
