OBJECTID,FacilityID,FeederID,OperatingV,Installati,RatedKVA,OWNER,OPERATINGC,CONSTRUC_1,GlobalID,Category,Department,Division,Subdivision,AssetType,Latitude,Longitude
1,341,RMT001,150,73958400000,25,Utility,Distribution,Overhead,{1BBCEAE9-7FFA-40A3-B2A9-AC3C02897D20},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.79400815,41.79400815
2,342,RMT001,150,73958400000,25,Utility,Distribution,Overhead,{6373482F-DE0A-41EA-B0C0-58D757C0D98D},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.79362694,41.79362694
3,343,RMT001,150,363398400000,25,Utility,Distribution,Overhead,{D7BC40D8-7781-4B9B-A831-E4B2DF65D6BA},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78803257,41.78803257
4,344,RMT001,150,363398400000,25,Utility,Distribution,Overhead,{A6F7DB4D-205B-4107-812A-220E7D678952},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78802835,41.78802835
5,345,RMT001,150,363398400000,25,Utility,Distribution,Overhead,{CA2E3411-C54D-4A3E-A317-D6C441FC88F6},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78802413,41.78802413
6,346,RMT001,150,76723200000,25,Utility,Distribution,Overhead,{33F1BE3B-3F96-4A93-B9F3-EA60411811CC},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78717307,41.78717307
7,347,RMT001,150,76723200000,75,Utility,Distribution,Overhead,{E79D2568-9F12-4775-AF94-8C253EF11F06},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78662091,41.78662091
8,348,RMT001,150,1391644800000,75,Utility,Distribution,Overhead,{F630468E-19CC-40B9-AE48-78662679A83C},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.79329484,41.79329484
9,349,RMT001,150,73958400000,75,Utility,Distribution,Overhead,{85264361-FA14-4C10-A952-343E6F94A0C9},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.79331103,41.79331103
10,350,RMT001,150,73958400000,25,Utility,Distribution,Overhead,{F5E0E6EC-98CF-4EE9-9D0D-9823ED2BFF12},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.79101742,41.79101742
11,351,RMT001,150,73958400000,75,Utility,Distribution,Overhead,{081FAA5D-B7B7-47A5-9970-28E85C77AB84},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78936103,41.78936103
12,352,RMT001,150,73958400000,25,Utility,Distribution,Overhead,{18ACCCD0-422D-4753-B4CF-6856F9F54B18},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78758429,41.78758429
13,353,RMT001,150,73958400000,25,Utility,Distribution,Overhead,{2F1489A7-95D7-47EC-B8DE-C6A3741BC075},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78656257,41.78656257
14,354,RMT003,380,73958400000,75,Utility,Distribution,Underground,{AC7CD199-74E1-419B-9654-421B8ED4C7B7},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.79812269,41.79812269
15,355,RMT001,150,73958400000,25,Utility,Distribution,Overhead,{FD4E46B7-3F70-43E7-9914-FF5DB686E443},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.79541801,41.79541801
16,356,RMT001,150,73958400000,25,Utility,Distribution,Overhead,{C1071360-D113-4E6B-99E6-DFD029088E5D},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78567961,41.78567961
17,357,RMT001,150,73958400000,25,Utility,Distribution,Overhead,{AC9B28E0-53D2-42EB-947A-6568D08C0B2B},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78633577,41.78633577
