OBJECTID,FacilityID,Installati,OWNER,OPERATINGC,Category,Department,Division,Subdivision,AssetType,Latitude,Longitude
1,MH1,-65750400000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78273812,-88.17186275
2,MH2,-65750400000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78296328,-88.17097269
3,P22-MH1,968371200000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78599371,-88.15862215
4,J1,165888000000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78434261,-88.1480614
5,P3-4J1,165888000000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78042606,-88.15089829
6,P19-2J1,165888000000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78691669,-88.14799298
7,L3-J1,165888000000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78813056,-88.14466893
8,P9-J2,1373241600000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.7879612,-88.14466306
9,P9-J1,1403481600000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78797987,-88.14406066
10,P2-J1,168393600000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78799789,-88.14655819
11,J1,165888000000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78209467,-88.14813453
12,J1,165888000000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78929067,-88.14703931
13,22SC1,968371200000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78607432,-88.15878612
14,30SC1,928540800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78601021,-88.15342996
15,P22-J1,504921600000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78415218,-88.16085123
16,P22-J2,504921600000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78410298,-88.16046104
17,P22-J3,504921600000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78362883,-88.16161675
18,P22-J4,504921600000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78382741,-88.16148726
19,P22-J5,504921600000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78297382,-88.16173717
20,P22-J6,504921600000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78321951,-88.16114427
21,P22-J8,504921600000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78311465,-88.1608225
22,P22-J9,504921600000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78270451,-88.16076754
23,P22-J10,504921600000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78230549,-88.16087645
24,P22-J11,504921600000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78215814,-88.16145018
25,P22-J12,504921600000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78350229,-88.16015503
26,P22-J13,504921600000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.7831572,-88.15999801
27,P22-J14,504921600000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78210295,-88.1599422
28,P22-J15,504921600000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78251222,-88.15997033
29,P22-J16,504921600000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78155347,-88.16193528
30,P22-J17,504921600000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78157201,-88.16129463
31,P22-J18,504921600000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78158711,-88.16065552
32,P22-J19,599616000000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78183468,-88.16554055
33,P22-J20,599616000000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78137446,-88.16518745
34,P22-J21,504921600000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78200976,-88.16248346
35,P22-J22,504921600000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78263585,-88.1628544
36,P22-J23,504921600000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.7822257,-88.16190108
37,P22-J24,504921600000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78269463,-88.16208619
38,P22-J25,504921600000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78338507,-88.16228291
39,P22-J26,1359676800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78319516,-88.16305029
40,P22-J27,599616000000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78264706,-88.16342427
41,P22-J28,599616000000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78193785,-88.16311915
42,P22-J29,599616000000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78150984,-88.16309137
43,P22-J30,1388620800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78112403,-88.16307616
44,P22-J31,599616000000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78103911,-88.16461086
45,P22-J32,599616000000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.7809424,-88.16389641
46,P22-J33,599616000000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78214071,-88.16396789
47,P22-J34,599616000000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78238876,-88.16402956
48,P22-J35,599616000000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78215689,-88.16470835
49,P22-J36,599616000000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78203065,-88.16480596
50,P22-J37,599616000000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78183708,-88.16455446
51,P22-J38,599616000000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78193676,-88.16384811
52,P22-J39,599616000000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78153582,-88.16391465
53,P7-J1,347155200000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.7897374,-88.15494687
54,P7-J2,347155200000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78974492,-88.15540524
55,P7-J3,378691200000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78975443,-88.15588954
56,P7-J4,1391212800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78976019,-88.15636872
57,P7-J5,347155200000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78914434,-88.15647423
58,P7-J6,347155200000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78896884,-88.15498423
59,P7-J7,347155200000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78909253,-88.15545719
60,P7-J8,347155200000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78909931,-88.15593128
61,P13-J1,1391212800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78941845,-88.14600471
62,P13-J2,1388620800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78917002,-88.14693785
63,P20-J1,252460800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.79576384,-88.15771491
64,T8-J1,473385600000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78398621,-88.16324934
65,T9-J1,165888000000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.78515879,-88.16102843
66,MH,833932800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77191118,-88.1714025
67,MH6,913334400000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77189293,-88.1703669
68,MH7,913334400000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.7720446,-88.16909136
69,MH8,913334400000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77231264,-88.16725659
70,MH3,913334400000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.76950823,-88.18405995
71,MH4,913334400000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77060798,-88.18092068
72,MH1,913334400000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77130275,-88.17858715
73,SC2,971308800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.7789353,-88.15079833
74,SC1,971308800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77193595,-88.1548027
75,P30-MH1,971308800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77477905,-88.13704334
76,P1-MH2,971308800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77521267,-88.14870786
77,MH1,971308800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77250794,-88.15137102
